,song,artist
0,Last Night,Morgan Wallen
1,Search & Rescue,Drake
2,Flowers,Miley Cyrus
3,Kill Bill,SZA
4,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
5,Calm Down,Rema & Selena Gomez
6,Die For You,The Weeknd & Ariana Grande
7,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
8,Anti-Hero,Taylor Swift
9,Ella Baila Sola,Eslabon Armado X Peso Pluma
10,Rock And A Hard Place,Bailey Zimmerman
11,Players,Coi Leray
12,You Proof,Morgan Wallen
13,Favorite Song,Toosii
14,Sure Thing,Miguel
15,Lavender Haze,Taylor Swift
16,La Bebe,Yng Lvcas x Peso Pluma
17,As It Was,Harry Styles
18,Thought You Should Know,Morgan Wallen
19,Thinkin' Bout Me,Morgan Wallen
20,I'm Good (Blue),David Guetta & Bebe Rexha
21,One Thing At A Time,Morgan Wallen
22,Fast Car,Luke Combs
23,Under The Influence,Chris Brown
24,Something In The Orange,Zach Bryan
25,Escapism,RAYE Featuring 070 Shake
26,Thank God,Kane Brown With Katelyn Brown
27,Slut Me Out,NLE Choppa
28,Unholy,Sam Smith & Kim Petras
29,Just Wanna Rock,Lil Uzi Vert
30,Handle On You,Parker McCollum
31,Wait In The Truck,HARDY Featuring Lainey Wilson
32,TQG,Karol G x Shakira
33,Snooze,SZA
34,Rich Flex,Drake & 21 Savage
35,Heart Like A Truck,Lainey Wilson
36,Dancin' In The Country,Tyler Hubbard
37,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
38,Spin Bout U,Drake & 21 Savage
39,Love You Anyway,Luke Combs
40,Fight The Feeling,Rod Wave
41,Eyes Closed,Ed Sheeran
42,Until I Found You,Stephen Sanchez
43,Cuff It,Beyonce
44,"Going, Going, Gone",Luke Combs
45,Bloody Mary,Lady Gaga
46,Golden Hour,JVKE
47,Next Thing You Know,Jordan Davis
48,PRC,Peso Pluma X Natanael Cano
49,Wild As Her,Corey Kent
50,Por Las Noches,Peso Pluma
51,Like Crazy,Jimin
52,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
53,Happy,NF
54,Tennessee Orange,Megan Moroney
55,Ain't That Some,Morgan Wallen
56,Everything I Love,Morgan Wallen
57,Low Down,Lil Baby
58,5 Leaf Clover,Luke Combs
59,Cupid,Fifty Fifty
60,Red Ruby Da Sleeze,Nicki Minaj
61,Bebe Dame,Fuerza Regida X Grupo Frontera
62,I Wrote The Book,Morgan Wallen
63,All Of The Girls You Loved Before,Taylor Swift
64,Cowgirls,Morgan Wallen Featuring ERNEST
65,Beso,Rosalia & Rauw Alejandro
66,Man Made A Bar,Morgan Wallen Featuring Eric Church
67,Nonsense,Sabrina Carpenter
68,Dogtooth,"Tyler, The Creator"
69,Ch y La Pizza,Fuerza Regida X Natanael Cano
70,Strike (Holster),Lil Yachty
71,Yandel 150,Yandel & Feid
72,Need A Favor,Jelly Roll
73,Special,Lizzo Featuring SZA
74,ICU,Coco Jones
75,In Ha Mood,Ice Spice
76,Painting Pictures,Superstar Pride
77,Ceilings,Lizzy McAlpine
78,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
79,Trance,"Metro Boomin, Travis Scott & Young Thug"
80,Nasty,Russ
81,Sorry Not Sorry,"Tyler, The Creator"
82,Peaches,Jack Black
83,Forever,Lil Baby Featuring Fridayy
84,Careful,NF & Cordae
85,Gold,Dierks Bentley
86,El Azul,Junior H x Peso Pluma
87,Love Again,The Kid LAROI
88,Human,Cody Johnson
89,I Know,Kanii
90,Dawns,Zach Bryan Featuring Maggie Rogers
91,El Gordo Trae El Mando,Chino Pacas
92,Sunrise,Morgan Wallen
93,Never Felt So Alone,Labrinth
94,Don't Play With It,Lola Brooke X Latto X Yung Miami Or Featuring Billy B
95,Memory Lane,Old Dominion
96,What He Didn't Do,Carly Pearce
97,Que Vuelvas,Carin Leon X Grupo Frontera
98,WTF,YoungBoy Never Broke Again Featuring Nicki Minaj
99,'98 Braves,Morgan Wallen
